

Montana (MST) SCAN Site Fort Assiniboine #1 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:50:56 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,RHUM.I-1 (pct) ,
2019,2010-10-01,,     0.0,    0.00,     8.0,    23.5,     4.6,    14.1,    0.00,    15.5,    20.3,    26.1,    20.9,    23.3,    13.3,    14.5,    15.0,    14.1,    13.7,-99.9,
2019,2010-10-02,,     0.1,    0.00,    12.4,    21.6,     2.9,    12.5,    0.00,    15.0,    19.7,    25.8,    20.7,    22.8,    13.2,    13.9,    14.3,    13.9,    13.7,-99.9,
2019,2010-10-03,,     0.1,    0.00,     9.5,    25.7,     4.3,    14.4,    0.00,    14.3,    19.0,    25.9,    20.9,    23.1,    13.1,    14.1,    14.5,    13.8,    13.7,-99.9,
2019,2010-10-04,,     0.1,    0.00,    10.1,    25.8,     4.4,    15.6,    0.00,    13.7,    18.4,    25.9,    20.8,    23.0,    13.9,    14.6,    14.7,    13.8,    13.7,-99.9,
2019,2010-10-05,,     0.2,    0.08,    11.4,    25.7,     6.5,    15.9,    0.08,    13.2,    17.9,    26.2,    20.7,    22.7,    15.0,    15.3,    15.1,    13.9,    13.6,-99.9,
2019,2010-10-06,,     0.2,    0.14,     7.6,    15.1,     7.2,    11.4,    0.06,    12.8,    17.6,    25.9,    20.7,    23.0,    11.8,    13.1,    14.1,    14.0,    13.7,-99.9,
2019,2010-10-07,,     0.2,    0.14,     8.0,    20.9,     2.4,    11.0,    0.00,    12.7,    17.3,    25.8,    20.8,    23.0,    12.1,    13.1,    13.7,    13.7,    13.7,-99.9,
2019,2010-10-08,,     0.2,    0.14,    13.4,    27.0,     4.4,    15.1,    0.00,    12.5,    16.9,    25.8,    20.8,    22.6,    13.1,    13.7,    13.9,    13.5,    13.6,-99.9,
2019,2010-10-09,,     0.2,    0.14,    11.7,    20.7,     7.3,    14.5,    0.00,    12.3,    16.6,    25.9,    20.8,    23.1,    13.0,    13.5,    13.7,    13.5,    13.5,-99.9,
2019,2010-10-10,,     0.2,    0.14,    10.6,    23.0,     7.4,    14.2,    0.00,    11.9,    16.2,    26.0,    20.8,    22.8,    12.5,    13.3,    13.7,    13.4,    13.5,-99.9,
