

Montana (MST) SCAN Site Fort Assiniboine #1 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 10:50:41 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,
2019,2008-10-01,,     0.0,    0.00,    11.6,    25.5,     3.0,    14.3,    0.00,     8.3,    11.7,    22.3,    17.1,    18.5,    13.7,    14.4,    14.4,    13.7,    14.0,
2019,2008-10-02,,     0.0,    0.00,    10.6,    26.3,     3.6,    14.5,    0.00,     8.1,    11.6,    22.2,    16.9,    18.6,    13.8,    14.6,    14.7,    13.8,    14.0,
2019,2008-10-03,,     0.0,    0.00,    16.8,    27.3,     6.1,    16.9,    0.00,     8.0,    11.4,    22.1,    17.0,    18.6,    15.6,    15.5,    15.1,    13.9,    13.9,
2019,2008-10-04,,     0.0,    0.00,    14.7,    24.8,     8.8,    16.4,    0.00,     7.4,    11.3,    22.3,    17.0,    18.8,    15.2,    15.8,    15.7,    14.2,    13.9,
2019,2008-10-05,,     0.0,    0.00,    13.6,    20.6,     9.2,    15.0,    0.00,     7.2,    11.1,    22.1,    16.9,    18.4,    14.6,    15.1,    15.2,    14.4,    13.9,
2019,2008-10-06,,     0.0,    0.00,     5.9,    19.8,     5.9,    13.0,    0.00,     6.5,    10.8,    21.9,    17.2,    18.4,    12.5,    14.0,    14.9,    14.4,    14.0,
2019,2008-10-07,,     0.0,    0.00,     3.9,    15.8,     3.2,     8.6,    0.00,     5.7,    10.6,    21.4,    17.0,    18.4,    10.4,    12.2,    13.5,    14.1,    14.0,
2019,2008-10-08,,     0.0,    0.00,     7.1,    22.2,     0.9,    11.0,    0.00,     5.9,    10.4,    21.0,    16.8,    18.4,    10.7,    12.0,    12.7,    13.6,    13.9,
2019,2008-10-09,,     0.0,    0.00,     1.2,    13.3,     1.2,     7.4,    0.00,     5.2,    10.0,    20.9,    16.9,    18.6,     8.1,    10.2,    11.8,    13.3,    13.8,
2019,2008-10-10,,     0.0,    0.00,    -1.9,    10.0,    -4.5,     2.5,    0.00,     5.0,    10.2,    20.7,    17.0,    18.3,     7.9,     9.7,    10.8,    12.6,    13.6,
